category,subcategory,service_type,name,short_description,description,duration,session,price,benefits,image,short_description_suggested,description_suggested
Kosmetika,Ošetření pleti,single,Hydratační ošetření pleti,Intenzivní hydratace pro zářivou a pružnou pleť,"Dopřejte suché pleti intenzivní hydrataci s vyživujícími maskami a hedvábnými séry. Jemné čištění a relaxační masáž obličeje podporují vstřebávání aktivních složek. Vaše pleť je hluboce hydratovaná, pružná a rozzáří se přirozeným jasem.",60,1,1150,"Intenzivní hydratace, zklidnění pleti, obnova pružnosti, zdravý vzhled",service-cosmetic.jpg,Profesionální hydratační ošetření pleti pro viditelné zlepšení. Intenzivní hydratace. Délka: 60 min.,"Hydratační ošetření pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Intenzivní hydratace
• zklidnění pleti
• obnova pružnosti
• zdravý vzhled

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Anti-age péče,single,Anti-age ošetření s kolagenem,Luxusní kolagenová terapie proti známkám stárnutí,"Objevte sílu kolagenu v prémiové péči proti vráskám a povadnutí pleti. Speciální lifting masáž a kolagenové masky stimulují přirozenou obnovu a zpevňují kontury obličeje. Vaše pleť je viditelně mladší, pevnější a vyhlazenější.",60,1,1350,"Redukce vrásek, zpevnění pleti, lifting efekt, stimulace kolagenu",service-cosmetic.jpg,Profesionální anti-age ošetření s kolagenem pro viditelné zlepšení. Redukce vrásek. Délka: 60 min.,"Anti-age ošetření s kolagenem je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Redukce vrásek
• zpevnění pleti
• lifting efekt
• stimulace kolagenu

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Ošetření pleti,single,Ošetření rozšířených pórů,Hloubkové čištění pro zjemnění a stažení pórů,"Profesionální čištění s enzymatickým peelingem důkladně uvolní póry a odstraní přebytečný maz. Šetrná extrakce a speciální stahující maska viditelně zjemní texturu pleti. Vaše pleť je čistá, matná a póry působí menší.",60,1,1350,"Stažení pórů, regulace mazu, vyčištění pleti, jemnější textura",service-cosmetic.jpg,Profesionální ošetření rozšířených pórů pro viditelné zlepšení. Stažení pórů. Délka: 60 min.,"Ošetření rozšířených pórů je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Stažení pórů
• regulace mazu
• vyčištění pleti
• jemnější textura

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Ošetření pleti,single,Ošetření problematické pleti,Cílená péče pro pleť se sklonem k nedokonalostem,"Dezinfekční ošetření s antibakteriálními aktivy zklidní záněty a vyčistí pleť bez podráždění. Profesionální extrakce a zklidňující maska podporují rychlé hojení. Vaše pleť je čistší, vyrovnaná a připravená na regeneraci.",60,1,1350,"Dezinfekce, zklidnění zánětů, prevence akné, rychlejší hojení",service-cosmetic.jpg,Profesionální ošetření problematické pleti pro viditelné zlepšení. Dezinfekce. Délka: 60 min.,"Ošetření problematické pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Dezinfekce
• zklidnění zánětů
• prevence akné
• rychlejší hojení

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Ošetření pleti,single,Zklidňující ošetření pleti s propolisem,Jemná péče s přírodním propolisem pro citlivou pleť,"Zjemněte citlivou pleť s léčivou silou přírodního propolisu. Šetrné ošetření bez dráždění zklidní zarudnutí, posílí ochrannou bariéru a podpoří přirozené hojení. Vaše pleť je uklidněná, vyživená a odolnější.",60,1,1490,"Zklidnění citlivé pleti, antibakteriální účinek, posílení kožní bariéry, přirozené hojení",service-cosmetic.jpg,Profesionální zklidňující ošetření pleti s propolisem pro viditelné zlepšení. Zklidnění citlivé pleti. Délka: 60 min.,"Zklidňující ošetření pleti s propolisem je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zklidnění citlivé pleti
• antibakteriální účinek
• posílení kožní bariéry
• přirozené hojení

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Anti-age péče,single,Premium ošetření s kyselinou hyaluronovou,Hluboká hydratace s luxusní kyselinou hyaluronovou,"Ponořte se do luxusu multi-molekulární kyseliny hyaluronové, která hydratuje všechny vrstvy pleti. Lifting masáž a koncentrovaná séra vyplní pleť zevnitř a vyhladí jemné linky. Vaše pleť je plná, pružná a zářivě mladistvá.",60,1,1700,"Hloubková hydratace, vyplnění vrásek, lifting efekt, dlouhodobá pružnost",service-cosmetic.jpg,Profesionální premium ošetření s kyselinou hyaluronovou pro viditelné zlepšení. Hloubková hydratace. Délka: 60 min.,"Premium ošetření s kyselinou hyaluronovou je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Hloubková hydratace
• vyplnění vrásek
• lifting efekt
• dlouhodobá pružnost

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Pokročilé procedury,single,Dermapen mikrojehličkování – Pleť,Pokročilá procedura pro omlazení a regeneraci pleti,"Aktivujte přirozenou obnovu pleti pomocí precizního mikrojehličkování. Jemné mikropikery stimulují tvorbu kolagenu v hlubších vrstvách a spustí řízenou regeneraci. Vaše pleť je postupně hladší, pevnější a nedokonalosti se zjemňují.",60,1,1800,"Stimulace kolagenu, redukce jizev, vyhlazení vrásek, zlepšení textury",service-cosmetic.jpg,Profesionální dermapen mikrojehličkování – pleť pro viditelné zlepšení. Stimulace kolagenu. Délka: 60 min.,"Dermapen mikrojehličkování – Pleť je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Stimulace kolagenu
• redukce jizev
• vyhlazení vrásek
• zlepšení textury

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Pokročilé procedury,single,Dermapen mikrojehličkování – Rty,Mikrojehličkování pro přirozený objem a mladší rty,"Získejte přirozeně plnější rty bez invazivních zákroků. Cílené mikrojehličkování stimuluje tvorbu kolagenu a vyhlazuje jemné vrásky kolem úst. Vaše rty jsou plnější, hladší a mladistvěji konturované.",60,1,700,"Přirozený objem rtů, vyhlazení vrásek, konturování, stimulace kolagenu",service-cosmetic.jpg,Profesionální dermapen mikrojehličkování – rty pro viditelné zlepšení. Přirozený objem rtů. Délka: 60 min.,"Dermapen mikrojehličkování – Rty je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Přirozený objem rtů
• vyhlazení vrásek
• konturování
• stimulace kolagenu

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,single,Barvení obočí,Profesionální barvení pro výrazný rámec obličeje,"Zvýrazněte své rysy precizním barvením v odstínu, který dokonale ladí s vaším typem. Šetrná barva vydrží 4-6 týdnů bez každodenního líčení. Vaše obočí je výrazné, upravené a přirozeně krásné.",15,1,200,"Zvýraznění obličeje, přirozený vzhled, dlouhodobý efekt, úspora času",service-cosmetic.jpg,Profesionální barvení obočí pro viditelné zlepšení. Zvýraznění obličeje. Délka: 15 min.,"Barvení obočí je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zvýraznění obličeje
• přirozený vzhled
• dlouhodobý efekt
• úspora času

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 15 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,single,Barvení řas,Tmavé řasy pro hloubku a intenzitu pohledu,"Tmavší řasy dodají vašemu pohledu hloubku a výraz bez každodenní tuše. Šetrné barvení vydrží 4-6 týdnů a je vhodné i pro citlivé oči. Vaše oči jsou výrazné, svěží a připravené na každý den.",15,1,200,"Výrazný pohled, přirozený vzhled, úspora času, vhodné pro citlivé oči",service-cosmetic.jpg,Profesionální barvení řas pro viditelné zlepšení. Výrazný pohled. Délka: 15 min.,"Barvení řas je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Výrazný pohled
• přirozený vzhled
• úspora času
• vhodné pro citlivé oči

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 15 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,single,Lifting řas,Přirozený curl pro dlouhodobě otevřený pohled,"Nechte své řasy přirozeně natočit a zvednout pro efekt delších a výraznějších řas. Šetrná fixace vydrží 4-6 týdnů bez poškození. Vaše oči vypadají otevřeněji, svěže a bez potřeby natáčeček.",45,1,1000,"Přirozený curl, výrazný pohled, dlouhodobý efekt 4-6 týdnů, bez poškození",service-cosmetic.jpg,Profesionální lifting řas pro viditelné zlepšení. Přirozený curl. Délka: 45 min.,"Lifting řas je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Přirozený curl
• výrazný pohled
• dlouhodobý efekt 4-6 týdnů
• bez poškození

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 45 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,single,Laminace obočí,Profesionální styling pro plné a poslušné obočí,"Stylizujte každý chloupek na správné místo a zafixujte tvar pro efekt plnějšího obočí. Bezbolestný proces vydrží 4-6 týdnů. Vaše obočí je výrazné, upravené a perfektně tvarované.",45,1,600,"Plnější vzhled, dlouhodobá fixace, přirozený efekt, bez bolesti",service-cosmetic.jpg,Profesionální laminace obočí pro viditelné zlepšení. Plnější vzhled. Délka: 45 min.,"Laminace obočí je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Plnější vzhled
• dlouhodobá fixace
• přirozený efekt
• bez bolesti

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 45 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,single,Laminace obočí s barvením,"Dokonalé obočí s plností, tvarem i barvou","Kombinujte styling s precizním barvením pro úplně dokonalé obočí. Každý chloupek má správnou barvu i směr pro efekt, který vydrží 4-6 týdnů. Vaše obočí je plné, sjednocené a nevyžaduje denní úpravu.",50,1,1000,"Plný tvar, sjednocená barva, dlouhodobý efekt, přirozený vzhled",service-cosmetic.jpg,Profesionální laminace obočí s barvením pro viditelné zlepšení. Plný tvar. Délka: 50 min.,"Laminace obočí s barvením je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Plný tvar
• sjednocená barva
• dlouhodobý efekt
• přirozený vzhled

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 50 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,package,Laminace obočí + Lifting řas,Kompletní úprava obočí i řas v jednom sezení,"Dopřejte si komplexní péči o obočí i řasy najednou včetně barvení obou partií. Za jednu návštěvu získáte výrazný a ucelený vzhled, který vydrží 4-6 týdnů. Ušetříte čas i peníze oproti samostatným ošetřením.",90,1,1500,"Kompletní úprava, výrazný vzhled, dlouhodobý efekt, úspora času",service-cosmetic.jpg,Profesionální laminace obočí + lifting řas pro viditelné zlepšení. Kompletní úprava. Délka: 90 min.,"Laminace obočí + Lifting řas je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Kompletní úprava
• výrazný vzhled
• dlouhodobý efekt
• úspora času

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 90 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,package,Lifting řas + Ošetření pleti,Krásné řasy a svěží pleť v jednom ošetření,"Zatímco působí fixace na vašich řasách, věnujeme se čištění a hydrataci pleti. Efektivní spojení dvou služeb šetří váš čas. Vaše řasy jsou natočené a výrazné, pleť svěží a hydratovaná.",90,1,800,"Natočené řasy, ošetřená pleť, efektivní využití času, kompletní péče",service-cosmetic.jpg,Profesionální lifting řas + ošetření pleti pro viditelné zlepšení. Natočené řasy. Délka: 90 min.,"Lifting řas + Ošetření pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Natočené řasy
• ošetřená pleť
• efektivní využití času
• kompletní péče

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 90 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,package,Laminace obočí + Ošetření pleti,Upravené obočí a ošetřená pleť najednou,Během fixace obočí se postaráme o čištění a hydrataci vaší pleti. Praktické řešení pro komplexní péči v jednom sezení. Vaše obočí je perfektně tvarované a pleť svěží.,75,1,500,"Upravené obočí, ošetřená pleť, úspora času, praktické řešení",service-cosmetic.jpg,Profesionální laminace obočí + ošetření pleti pro viditelné zlepšení. Upravené obočí. Délka: 75 min.,"Laminace obočí + Ošetření pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Upravené obočí
• ošetřená pleť
• úspora času
• praktické řešení

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 75 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
