Category,PackageName,Description,Price,Sessions,Price_Cleaned,Image,Duration
Endosphere Roller,Endos-roller ruce 45 minut,"Kompresní mikro-vibrace rukou pomocí Endos-roller pro zlepšení lymfatické drenáže a tonizaci pokožky. Redukuje otoky, zlepšuje cirkulaci. Šetrné ošetření pro uvolnění a detoxikaci rukou. Výsledky po několika sezeních.",850Kč,1,850,service-endosphere.jpg,
Endosphere Roller,"Endos-roller 1 partie břicho, zadek, nohy 45 minut","Kompresní mikro-vibrace s 55 silikonovými kuličkami pro jednu partii těla. Zlepšuje lymfatickou drenáž, redukuje celulitidu a zadržování tekutin. Tonizuje pokožku a svaly bez bolesti. Výsledky po 3-5 ošetřeních, ideální pro konturování postavy.",1 050Kč,1,1050,service-endosphere.jpg,
Endosphere Roller,Endos-roller balíček 5 ošetření za 1 partii - sleva 10%,"Balíček 5 Endos-roller ošetření pro jednu partii se slevou 10%. Kompresní vibrace zeštíhlují, odvodňují, redukují celulitidu a těžké nohy. Konturuje postavu, odvádí toxiny. Ideální pro dlouhodobé výsledky.",4 725Kč,1,4725,service-endosphere.jpg,
Endosphere Roller,Endos-roller balíček 10 ošetření za 1 partii - sleva 15%,"Prémiový balíček 10 Endos-roller ošetření pro jednu partii se slevou 15%. Intenzivní program pro maximální výsledky. Redukuje celulitidu, odvodňuje, konturuje postavu. Profesionální péče pro dlouhodobou údržbu.",8 925Kč,1,8925,service-endosphere.jpg,
Endosphere Roller,"Endos-roller 2 břicho/ ruce, nohy/zadek 60 minut","Endos-roller ošetření dvou partií těla za 60 minut. Kompresní vibrace zeštíhlují, odvodňují, redukují celulitidu a těžké nohy. Konturuje postavu, odvádí toxiny. Účinné pro komplexní péči o více partií.",1 500Kč,1,1500,service-endosphere.jpg,
Endosphere Roller,Endos-roller - celé tělo 75 minut skvělý na rozjetí celého lymfatického systému,"Kompletní Endos-roller ošetření celého těla za 75 minut. Skvělé pro rozjetí lymfatického systému, detoxikaci a celkové odvodnění. Redukuje celulitidu, zlepšuje cirkulaci. Maximální efekt pro celkovou harmonii těla.",1 900Kč,1,1900,service-endosphere.jpg,
Endosphere Roller,Endos-roller balíček 6 ošetření celé tělo - sleva 10%,"Balíček 6 kompletních Endos-roller ošetření celého těla se slevou 10%. Intenzivní program pro detoxikaci, odvodnění a konturování postavy. Zlepšuje lymfatický systém a celkovou vitalitu.",10 260Kč,1,10260,service-endosphere.jpg,
Endosphere Roller,Endos-roller balíček 10 ošetření celé tělo - sleva 15%,"Prémiový balíček 10 kompletních ošetření celého těla se slevou 15%. Maximální detoxikace, odvodnění a formování postavy. Profesionální péče pro dlouhodobé zdraví a krásu.",16 150Kč,1,16150,service-endosphere.jpg,
Endosphere Roller,Endos-roller obličej a dekolt 30 minut,"Jemné Endos-roller ošetření obličeje a dekoltu pro odvodnění a liftingový efekt. Redukuje otoky, zlepšuje cirkulaci, vytváří jemný lifting. Ideální pro osvěžení a detoxikaci obličeje.",600Kč,1,600,service-endosphere.jpg,
Endosphere Roller,Endos-roller obličej a dekolt balíček 6 ošetření sleva 10%,"Balíček 6 ošetření obličeje a dekoltu se slevou 10%. Pravidelná péče pro odvodnění, lifting a detoxikaci. Zlepšuje kvalitu pleti a kontury obličeje.",3 240Kč,1,3240,service-endosphere.jpg,
Endosphere Roller,Endos-roller obličej balíček a dekolt 10 ošetření sleva 15%,"Prémiový balíček 10 ošetření obličeje a dekoltu se slevou 15%. Intenzivní program pro maximální odvodnění, lifting a zlepšení kvality pleti. Profesionální péče pro dlouhodobou krásu.",5 100Kč,1,5100,service-endosphere.jpg,
Kavitace,Kavitace 1 partie 30 minut,"Neinvazivní kavitace pro redukci tukových buněk a celulitidy. Ultrazvukové vlny rozbíjejí tukové buňky, které jsou pak přirozeně vyloučeny z těla. Bezbolestné a efektivní. Ideální pro břicho, stehna, hýždě. Viditelné výsledky po několika sezeních.",900Kč,1,900,service-kavitace.jpg,
Kavitace,Kavitace 2 partie 45 minut,"Kavitace pro dvě partie těla za 45 minut. Cílená redukce tukových buněk a celulitidy. Ultrazvukové vlny rozbíjejí tukové buňky. Bezbolestné a efektivní. Ideální pro břicho, stehna, hýždě. Rychlé a viditelné výsledky.",1 300Kč,1,1300,service-kavitace.jpg,
Kavitace,Kavitace balíček 5 ošetření 1 partie - sleva 10%,Balíček 5 kavitací pro jednu partii se slevou 10%. Intenzivní program pro redukci tukových buněk a celulitidy. Ultrazvukové vlny rozbíjejí tukové buňky. Dlouhodobé výsledky. Profesionální péče pro formování postavy.,4 050Kč,1,4050,service-kavitace.jpg,
Kavitace,Kavitace balíček 10 ošetření 1 partie - sleva 15%,Prémiový balíček 10 kavitací pro jednu partii se slevou 15%. Maximální redukce tukových buněk a celulitidy. Ultrazvukové vlny rozbíjejí tukové buňky. Nejúčinnější program pro transformaci postavy. Dlouhodobé výsledky.,7 650Kč,1,7650,service-kavitace.jpg,
Kavitace,Kavitace balíček 5 ošetření 2 partie - sleva 10%,Balíček 5 kavitací pro dvě partie se slevou 10%. Cílená redukce tukových buněk a celulitidy. Ultrazvukové vlny rozbíjejí tukové buňky. Dlouhodobé výsledky. Profesionální péče pro formování postavy.,5 850Kč,1,5850,service-kavitace.jpg,
Kavitace,Kavitace balíček 10 ošetření 2 partie - sleva 15%,Prémiový balíček 10 kavitací pro dvě partie se slevou 15%. Maximální redukce tukových buněk a celulitidy. Ultrazvukové vlny rozbíjejí tukové buňky. Nejúčinnější program pro transformaci postavy. Dlouhodobé výsledky.,11 050Kč,1,11050,service-kavitace.jpg,
Radiofrekvence,Radiofrekvence obličej 30 minut,"Radiofrekvenční ošetření obličeje pro omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu, redukuje vrásky a zlepšuje elasticitu. Bezbolestné a neinvazivní. Okamžité výsledky a dlouhodobé zlepšení. Pocítíte osvěžení a radost z mladistvé pleti.",800Kč,1,800,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence obličej + krk 45 minut,"Radiofrekvenční ošetření obličeje a krku pro komplexní omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu, redukuje vrásky a zlepšuje elasticitu. Bezbolestné a neinvazivní. Viditelné výsledky po prvním ošetření. Pocítíte osvěžení a radost z mladistvé pleti.",1 200Kč,1,1200,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence obličej + krk + dekolt 60 minut,"Radiofrekvenční ošetření obličeje, krku a dekoltu pro maximální omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu, redukuje vrásky a zlepšuje elasticitu. Bezbolestné a neinvazivní. Dlouhodobé výsledky a celkové zlepšení vzhledu. Pocítíte osvěžení a radost z mladistvé pleti.",1 500Kč,1,1500,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 5 ošetření obličej - sleva 10%,Balíček 5 radiofrekvenčních ošetření obličeje se slevou 10%. Intenzivní program pro omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu. Dlouhodobé výsledky. Profesionální péče pro krásnou pleť. Pocítíte osvěžení a radost z mladistvé pleti.,3 600Kč,1,3600,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 10 ošetření obličej - sleva 15%,Prémiový balíček 10 radiofrekvenčních ošetření obličeje se slevou 15%. Maximální omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu. Nejúčinnější program pro transformaci pleti. Dlouhodobé výsledky. Pocítíte osvěžení a radost z mladistvé pleti.,6 800Kč,1,6800,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 5 ošetření obličej + krk - sleva 10%,Balíček 5 radiofrekvenčních ošetření obličeje a krku se slevou 10%. Intenzivní program pro komplexní omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu. Dlouhodobé výsledky. Profesionální péče pro krásnou pleť. Pocítíte osvěžení a radost z mladistvé pleti.,5 400Kč,1,5400,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 10 ošetření obličej + krk - sleva 15%,Prémiový balíček 10 radiofrekvenčních ošetření obličeje a krku se slevou 15%. Maximální omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu. Nejúčinnější program pro transformaci pleti. Dlouhodobé výsledky. Pocítíte osvěžení a radost z mladistvé pleti.,10 200Kč,1,10200,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 5 ošetření obličej + krk + dekolt - sleva 10%,"Balíček 5 radiofrekvenčních ošetření obličeje, krku a dekoltu se slevou 10%. Intenzivní program pro maximální omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu. Dlouhodobé výsledky. Profesionální péče pro krásnou pleť. Pocítíte osvěžení a radost z mladistvé pleti.",6 750Kč,1,6750,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 10 ošetření obličej + krk + dekolt - sleva 15%,"Prémiový balíček 10 radiofrekvenčních ošetření obličeje, krku a dekoltu se slevou 15%. Maximální omlazení a zpevnění pleti. Stimuluje tvorbu kolagenu a elastinu. Nejúčinnější program pro transformaci pleti. Dlouhodobé výsledky. Pocítíte osvěžení a radost z mladistvé pleti.",12 750Kč,1,12750,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence tělo 1 partie 30 minut,"Radiofrekvenční ošetření těla pro zpevnění pokožky a redukci celulitidy. Stimuluje tvorbu kolagenu a elastinu, zlepšuje elasticitu a tonus. Bezbolestné a neinvazivní. Ideální pro břicho, stehna, hýždě. Viditelné výsledky po několika sezeních.",900Kč,1,900,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence tělo 2 partie 45 minut,"Radiofrekvenční ošetření těla pro dvě partie za 45 minut. Zpevňuje pokožku a redukuje celulitidu. Stimuluje tvorbu kolagenu a elastinu, zlepšuje elasticitu a tonus. Bezbolestné a neinvazivní. Rychlé a viditelné výsledky.",1 300Kč,1,1300,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 5 ošetření tělo 1 partie - sleva 10%,Balíček 5 radiofrekvenčních ošetření těla pro jednu partii se slevou 10%. Intenzivní program pro zpevnění pokožky a redukci celulitidy. Stimuluje tvorbu kolagenu a elastinu. Dlouhodobé výsledky. Profesionální péče pro krásnou postavu.,4 050Kč,1,4050,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 10 ošetření tělo 1 partie - sleva 15%,Prémiový balíček 10 radiofrekvenčních ošetření těla pro jednu partii se slevou 15%. Maximální zpevnění pokožky a redukce celulitidy. Stimuluje tvorbu kolagenu a elastinu. Nejúčinnější program pro transformaci postavy. Dlouhodobé výsledky.,7 650Kč,1,7650,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 5 ošetření tělo 2 partie - sleva 10%,Balíček 5 radiofrekvenčních ošetření těla pro dvě partie se slevou 10%. Intenzivní program pro zpevnění pokožky a redukci celulitidy. Stimuluje tvorbu kolagenu a elastinu. Dlouhodobé výsledky. Profesionální péče pro krásnou postavu.,5 850Kč,1,5850,service-radiofrekvence.jpg,
Radiofrekvence,Radiofrekvence balíček 10 ošetření tělo 2 partie - sleva 15%,Prémiový balíček 10 radiofrekvenčních ošetření těla pro dvě partie se slevou 15%. Maximální zpevnění pokožky a redukce celulitidy. Stimuluje tvorbu kolagenu a elastinu. Nejúčinnější program pro transformaci postavy. Dlouhodobé výsledky.,11 050Kč,1,11050,service-radiofrekvence.jpg,
Lymfodrenáž,Lymfodrenáž 1 partie 30 minut,"Manuální lymfodrenáž pro jednu partii těla. Jemná masáž stimuluje lymfatický systém, redukuje otoky, detoxikuje tělo. Zlepšuje cirkulaci a imunitu. Ideální pro nohy, břicho, ruce. Uvolňuje a regeneruje.",700Kč,1,700,service-lymfodrenaz.jpg,
Lymfodrenáž,Lymfodrenáž 2 partie 45 minut,"Manuální lymfodrenáž pro dvě partie těla. Jemná masáž stimuluje lymfatický systém, redukuje otoky, detoxikuje tělo. Zlepšuje cirkulaci a imunitu. Ideální pro nohy, břicho, ruce. Uvolňuje a regeneruje.",1 000Kč,1,1000,service-lymfodrenaz.jpg,
Lymfodrenáž,Lymfodrenáž celé tělo 60 minut,"Kompletní manuální lymfodrenáž celého těla. Jemná masáž stimuluje lymfatický systém, redukuje otoky, detoxikuje tělo. Zlepšuje cirkulaci a imunitu. Maximální uvolnění a regenerace. Ideální pro celkovou harmonii těla.",1 300Kč,1,1300,service-lymfodrenaz.jpg,
Lymfodrenáž,Lymfodrenáž balíček 5 ošetření 1 partie - sleva 10%,"Balíček 5 lymfodrenáží pro jednu partii se slevou 10%. Intenzivní program pro redukci otoků, detoxikaci a zlepšení imunity. Stimuluje lymfatický systém. Dlouhodobé výsledky. Profesionální péče pro zdraví.",3 150Kč,1,3150,service-lymfodrenaz.jpg,
Lymfodrenáž,Lymfodrenáž balíček 10 ošetření 1 partie - sleva 15%,"Prémiový balíček 10 lymfodrenáží pro jednu partii se slevou 15%. Maximální redukce otoků, detoxikace a zlepšení imunity. Stimuluje lymfatický systém. Nejúčinnější program pro celkové zdraví. Dlouhodobé výsledky.",5 950Kč,1,5950,service-lymfodrenaz.jpg,
Lymfodrenáž,Lymfodrenáž balíček 5 ošetření 2 partie - sleva 10%,"Balíček 5 lymfodrenáží pro dvě partie se slevou 10%. Intenzivní program pro redukci otoků, detoxikaci a zlepšení imunity. Stimuluje lymfatický systém. Dlouhodobé výsledky. Profesionální péče pro zdraví.",4 500Kč,1,4500,service-lymfodrenaz.jpg,
Lymfodrenáž,Lymfodrenáž balíček 10 ošetření 2 partie - sleva 15%,"Prémiový balíček 10 lymfodrenáží pro dvě partie se slevou 15%. Maximální redukce otoků, detoxikace a zlepšení imunity. Stimuluje lymfatický systém. Nejúčinnější program pro celkové zdraví. Dlouhodobé výsledky.",8 500Kč,1,8500,service-lymfodrenaz.jpg,
Lymfodrenáž,Lymfodrenáž balíček 5 ošetření celé tělo - sleva 10%,"Balíček 5 lymfodrenáží celého těla se slevou 10%. Intenzivní program pro redukci otoků, detoxikaci a zlepšení imunity. Stimuluje lymfatický systém. Dlouhodobé výsledky. Profesionální péče pro celkové zdraví.",5 850Kč,1,5850,service-lymfodrenaz.jpg,
Lymfodrenáž,Lymfodrenáž balíček 10 ošetření celé tělo - sleva 15%,"Prémiový balíček 10 lymfodrenáží celého těla se slevou 15%. Maximální redukce otoků, detoxikace a zlepšení imunity. Stimuluje lymfatický systém. Nejúčinnější program pro celkové zdraví. Dlouhodobé výsledky.",11 050Kč,1,11050,service-lymfodrenaz.jpg,
